Supplementary Data 2B. Differential gene expression in CD8A+ T cells at pre-treatment vs 8 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
METRNL,1.61731107916218e-06,0.220735634,0.148,0.115,0.027172443
RAN,1.65144541811735e-06,-0.22126172,0.481,0.615,0.027745934
KLF3,1.67874191526897e-06,0.114901699,0.482,0.526,0.028204543
ESYT2,1.67877176702983e-06,0.022947448,0.176,0.222,0.028205044
PSMB3,1.68022080530848e-06,-0.09960488,0.299,0.391,0.02822939
AP3S1,1.70087458532717e-06,-0.042311724,0.136,0.182,0.028576394
PHF5A,1.70923228520658e-06,-0.136216136,0.119,0.187,0.028716812
ISG15,1.72489550789377e-06,0.096436698,0.143,0.159,0.028979969
ARL6IP4,1.74671326516853e-06,0.06797112,0.569,0.625,0.02934653
SNHG6,1.7587050909072e-06,0.072002086,0.521,0.581,0.029548004
MYL6,1.78315389133474e-06,0.073884983,0.893,0.938,0.029958769
EIF2S2,1.82562180680609e-06,0.237413468,0.249,0.229,0.030672272
SRI,1.83745731492695e-06,-0.09767257,0.312,0.398,0.03087112
NR3C1,1.83815266885487e-06,-0.071206784,0.311,0.393,0.030882803
PPP1R18,1.84536755430661e-06,-0.163723668,0.419,0.538,0.03100402
SNRNP40,1.84713455763785e-06,-0.036332213,0.118,0.163,0.031033708
VCP,1.8653951107727e-06,0.00329699,0.419,0.486,0.031340503
TBC1D9B,1.88802591347877e-06,-0.015265701,0.085,0.122,0.031720723
TECR,1.93148183950857e-06,0.004432722,0.397,0.468,0.032450826
LY6E,1.93753281472188e-06,0.048438038,0.62,0.675,0.032552489
CDC123,1.94700841159359e-06,-0.18241891,0.116,0.197,0.032711688
TAX1BP1,1.94718290343256e-06,0.122293491,0.428,0.451,0.03271462
RPP30,1.94780643414263e-06,-0.143997666,0.064,0.12,0.032725096
CCND3,1.99215380384753e-06,0.093098374,0.642,0.68,0.033470176
PET100,2.00108719688495e-06,-0.015849962,0.293,0.354,0.033620266
LEPROTL1,2.01464116534048e-06,-0.177059591,0.267,0.358,0.033847986
PPIB,2.04013898279634e-06,-0.019463027,0.78,0.863,0.034276375
LSM6,2.04799902995566e-06,-0.102985696,0.152,0.22,0.034408432
STRAP,2.07434267083359e-06,-0.101682251,0.21,0.286,0.034851031
SFSWAP,2.10896565918293e-06,-0.002569665,0.173,0.225,0.035432732
SMIM26,2.13011184530586e-06,-0.169864095,0.24,0.337,0.035788009
PPA2,2.14317134101898e-06,-0.036992407,0.081,0.12,0.036007422
SDCBP,2.17975418550777e-06,-0.147605325,0.065,0.121,0.03662205
EVL,2.19043499431595e-06,-0.130728069,0.741,0.843,0.036801498
ANKRD12,2.2253833743003e-06,-0.020242165,0.446,0.537,0.037388666
CDC42SE2,2.25635780356348e-06,-0.137404032,0.336,0.44,0.037909067
FBXL5,2.26302326364283e-06,-0.091186185,0.134,0.197,0.038021054
