Supplementary Data 2A. Differential gene expression in CD8A+ T cells at pre-treatment vs 4 weeks,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
PPP1R7,0.008821563,-0.190182935,0.186,0.244,1
VCL,0.008821758,0.130723363,0.248,0.237,1
ANO6,0.008883207,0.201935722,0.13,0.094,1
EMP3,0.008885788,-0.152489979,0.831,0.884,1
ACTL6A,0.008891801,-0.12347552,0.034,0.069,1
ERN1,0.008913704,-0.208879834,0.331,0.389,1
GSTP1,0.008926808,0.118881545,0.684,0.674,1
CCNH,0.008936663,0.186543188,0.417,0.353,1
TASOR,0.008960382,0.082976242,0.204,0.214,1
CENPT,0.008975652,-0.179031622,0.155,0.212,1
GIT2,0.009093403,-0.08070782,0.161,0.211,1
TVP23B,0.009098585,-0.130192963,0.034,0.067,1
B3GAT1,0.009124713,0.108838855,0.059,0.048,1
RASSF7,0.009196008,-0.197212484,0.174,0.231,1
TPD52,0.009203188,-0.082832025,0.052,0.062,1
LSS,0.009256273,0.128013874,0.065,0.049,1
KIF13B,0.009277509,0.179366042,0.101,0.066,1
EMC3,0.009301282,0.004955902,0.192,0.224,1
LIMD2,0.009371447,-0.031298322,0.751,0.808,1
PSMB8-AS1,0.009391706,-0.128144135,0.204,0.268,1
HMGN2,0.009501234,-0.165155518,0.58,0.646,1
OTULINL,0.009506642,0.059835409,0.068,0.075,1
SLAMF6,0.009611725,-0.205082893,0.176,0.244,1
RPL39,0.009615008,0.014643781,0.987,0.998,1
WDR86-AS1,0.009639897,-0.128487557,0.033,0.051,1
NCSTN,0.009696234,-0.071374594,0.068,0.107,1
HIST1H3H,0.009733178,0.076276741,0.052,0.026,1
ZNF101,0.009751257,-0.043966575,0.033,0.055,1
AC021188.1,0.009782392,-0.113727548,0.024,0.055,1
SUB1,0.009875108,-0.10085305,0.542,0.621,1
NKTR,0.009943646,-0.046451448,0.3,0.358,1
MSL1,0.009983465,0.047072419,0.194,0.159,1
C2orf49,0.010005901,-0.133939046,0.052,0.082,1
PAGR1,0.010072106,-0.180892998,0.114,0.169,1
CRIP1,0.010144919,-0.189127475,0.853,0.891,1
LAGE3,0.010271531,-0.146121905,0.127,0.153,1
MDP1,0.010354368,-0.060404449,0.054,0.082,1
GLRX3,0.010419218,-0.14870105,0.107,0.163,1
PTMA,0.010486204,-0.040310287,0.985,0.997,1
ZNRD1,0.010560159,-0.145650079,0.171,0.232,1
SRSF8,0.010587457,-0.1360151,0.187,0.246,1
GIMAP2,0.010622899,-0.1789791,0.142,0.196,1
SYVN1,0.010641278,-0.139064776,0.072,0.102,1
MLST8,0.010655819,-0.099007092,0.094,0.14,1
SMURF2,0.010798283,-0.178692994,0.091,0.138,1
FAM53C,0.010800204,0.114898704,0.068,0.037,1
SH2D2A,0.010845858,0.178758775,0.425,0.386,1
SCAMP2,0.010945701,-0.212739981,0.311,0.373,1
